Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Timeframe
01/01/2020,Oneoff,67.CA,67,cash,0.0,1,0,1
01/01/2020,Oneoff,68.ST,68,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,68.CB,68,cbonds,50000.0,77.58,644,1
01/01/2020,Oneoff,68.SB,68,sbonds,35000.0,253.28,138,1
01/01/2020,Oneoff,68.GO,68,gold,0.0,143.95,0,1
01/01/2020,Oneoff,68.CA,68,cash,0.0,1,0,1
01/01/2020,Oneoff,69.ST,69,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,69.CB,69,cbonds,45000.0,77.58,580,1
01/01/2020,Oneoff,69.SB,69,sbonds,40000.0,253.28,157,1
01/01/2020,Oneoff,69.GO,69,gold,0.0,143.95,0,1
01/01/2020,Oneoff,69.CA,69,cash,0.0,1,0,1
01/01/2020,Oneoff,70.ST,70,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,70.CB,70,cbonds,40000.0,77.58,515,1
01/01/2020,Oneoff,70.SB,70,sbonds,45000.0,253.28,177,1
01/01/2020,Oneoff,70.GO,70,gold,0.0,143.95,0,1
01/01/2020,Oneoff,70.CA,70,cash,0.0,1,0,1
01/01/2020,Oneoff,71.ST,71,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,71.CB,71,cbonds,35000.0,77.58,451,1
01/01/2020,Oneoff,71.SB,71,sbonds,50000.0,253.28,197,1
01/01/2020,Oneoff,71.GO,71,gold,0.0,143.95,0,1
01/01/2020,Oneoff,71.CA,71,cash,0.0,1,0,1
01/01/2020,Oneoff,72.ST,72,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,72.CB,72,cbonds,30000.0,77.58,386,1
01/01/2020,Oneoff,72.SB,72,sbonds,55000.00000000001,253.28,217,1
01/01/2020,Oneoff,72.GO,72,gold,0.0,143.95,0,1
01/01/2020,Oneoff,72.CA,72,cash,0.0,1,0,1
01/01/2020,Oneoff,73.ST,73,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,73.CB,73,cbonds,25000.0,77.58,322,1
01/01/2020,Oneoff,73.SB,73,sbonds,60000.0,253.28,236,1
01/01/2020,Oneoff,73.GO,73,gold,0.0,143.95,0,1
01/01/2020,Oneoff,73.CA,73,cash,0.0,1,0,1
01/01/2020,Oneoff,74.ST,74,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,74.CB,74,cbonds,20000.0,77.58,257,1
01/01/2020,Oneoff,74.SB,74,sbonds,65000.0,253.28,256,1
